occupation,age,gender,education,years_of_experience,current_salary,salary_10_years,salary_growth,growth_percentage
Software Engineer,26,Other,PhD,3,191518,588483,396965,207.27294562391
Project Manager,53,Male,PhD,15,140150,260927,120777,86.17695326435961
Product Manager,33,Male,PhD,2,151732,351858,200126,131.8943927451032
Data Engineer,27,Other,High School,0,105356,207493,102137,96.94464482326588
Designer,55,Female,High School,10,81054,111386,30332,37.42196560317812
Designer,41,Other,Bachelor,1,82468,122072,39604,48.02347577242082
Project Manager,44,Female,PhD,5,131887,253443,121556,92.1667791366852
Software Engineer,58,Female,Bachelor,31,157254,327133,169879,108.02841263179315
Consultant,43,Other,PhD,6,152611,332539,179928,117.89975820877918
DevOps Engineer,40,Other,Master,15,175765,393754,217989,124.02298523596849
Product Manager,50,Other,Master,17,174334,369461,195127,111.92710544127937
Software Engineer,36,Other,PhD,13,217787,607336,389549,178.86696634785363
Project Manager,35,Female,Bachelor,0,76846,125174,48328,62.88941519402441
Software Engineer,33,Other,PhD,9,193518,539658,346140,178.8670821318947
DevOps Engineer,32,Other,High School,5,98195,175024,76829,78.24125464636693
Consultant,40,Female,Master,8,138493,277572,139079,100.42312607857437
Business Analyst,29,Female,Bachelor,7,105335,170764,65429,62.11515640575307
Designer,65,Male,Master,3,105212,164331,59119,56.190358514237914
Software Engineer,57,Female,PhD,10,199058,528639,329581,165.57033628389715
Project Manager,41,Female,Master,12,129178,231338,102160,79.08467386087415
Software Engineer,26,Female,Bachelor,2,133193,309578,176385,132.42813060746437
Designer,55,Female,High School,22,94644,130062,35418,37.422340560415876
Software Engineer,61,Male,High School,30,134489,251507,117018,87.00934648930397
Data Scientist,44,Female,Bachelor,5,128271,252328,124057,96.71476795222614
Business Analyst,29,Female,Bachelor,2,78945,127982,49037,62.11539679523719
Business Analyst,48,Female,Master,16,124995,211494,86499,69.20196807872316
Data Engineer,58,Other,Master,30,188679,428570,239891,127.14239528511386
Designer,27,Other,Bachelor,2,97279,149631,52352,53.81634268444372
Consultant,49,Other,PhD,26,173426,377895,204469,117.89985353983832
Designer,42,Male,Master,13,137573,219859,82286,59.812608578718205
Software Engineer,62,Other,Master,16,195084,466944,271860,139.3553546164729
Business Analyst,42,Female,Master,0,89339,151163,61824,69.20158049675953
Consultant,51,Male,PhD,18,176339,370086,193747,109.87189447598091
Data Engineer,51,Other,PhD,14,192325,481819,289494,150.52333290003898
Product Manager,60,Female,Bachelor,12,115816,210858,95042,82.06292740208607
Business Analyst,48,Other,PhD,12,123949,223549,99600,80.355630138202
Data Engineer,28,Other,Master,5,152590,392195,239605,157.0253620813946
Data Scientist,41,Female,Master,5,152065,340660,188595,124.02262190510638
Business Analyst,36,Female,PhD,3,114005,205614,91609,80.35524757686066
Designer,23,Male,High School,1,76588,110566,33978,44.36465242596751
Data Scientist,62,Male,Master,8,134753,290383,155630,115.4927905130127
Consultant,23,Male,Bachelor,1,98412,186474,88062,89.48298987928301
DevOps Engineer,35,Female,Bachelor,3,114070,224392,110322,96.71429823792408
Software Engineer,42,Other,PhD,7,185007,515924,330917,178.867286102688
Project Manager,61,Other,Bachelor,17,106549,169468,62919,59.05170391087668
DevOps Engineer,48,Other,Master,16,183723,411581,227858,124.02257746716525
Software Engineer,58,Other,Bachelor,33,160788,334484,173696,108.02796228574272
Business Analyst,38,Other,Master,13,103610,175310,71700,69.20181449667021
Designer,50,Male,Master,3,113088,180729,67641,59.81271222410866
Software Engineer,47,Female,PhD,7,175473,489336,313863,178.86683421381068
Data Scientist,48,Other,Master,15,168118,376623,208505,124.02300764938911
Project Manager,37,Female,PhD,11,142479,273797,131318,92.16656489728311
Data Engineer,24,Other,High School,1,117187,230794,113607,96.94505363222883
Designer,63,Male,High School,3,69464,95459,25995,37.42226189105148
Data Engineer,36,Other,Master,10,179579,425128,245549,136.73592123800665
Project Manager,63,Female,Bachelor,17,93851,149272,55421,59.05211452195501
Designer,56,Other,Master,32,143112,223527,80415,56.190256582257256
Software Engineer,47,Male,High School,7,126348,243938,117590,93.06835090385285
Designer,58,Female,Bachelor,25,108807,157990,49183,45.2020550148428
DevOps Engineer,56,Female,High School,28,135893,235502,99609,73.2995812882194
Data Scientist,23,Female,PhD,0,175130,470819,295689,168.83971906583682
Data Scientist,22,Other,Bachelor,0,120550,253118,132568,109.96930734135213
DevOps Engineer,52,Female,High School,30,128925,223426,94501,73.29920496412643
Data Engineer,52,Female,High School,12,120084,216196,96112,80.03730721828055
Designer,36,Other,Master,9,124885,199582,74697,59.81262761740802
DevOps Engineer,61,Male,High School,38,131093,227183,96090,73.29910826665039
Data Scientist,48,Female,High School,3,108119,192713,84594,78.24156716210841
Product Manager,30,Female,Master,6,153883,326120,172237,111.92724342519966
DevOps Engineer,62,Female,Bachelor,0,104797,199506,94709,90.37377024151455
Project Manager,30,Other,Master,2,104988,188017,83029,79.08427629824361
Product Manager,42,Other,Master,9,141448,299767,158319,111.92735139415191
DevOps Engineer,50,Female,Bachelor,22,161193,317091,155898,96.71511790214215
DevOps Engineer,58,Male,Master,19,183717,395897,212180,115.49285041667348
Data Scientist,22,Male,High School,0,103010,194182,91172,88.50791185321813
Data Scientist,58,Female,PhD,26,190013,448902,258889,136.24804618631356
Product Manager,24,Other,Bachelor,0,115135,229683,114548,99.49016372084944
Project Manager,28,Male,Master,0,111050,210421,99371,89.4831157136425
Data Scientist,53,Female,High School,22,115611,200353,84742,73.29925353123838
Product Manager,25,Female,PhD,3,166013,417183,251170,151.2953804822514
Data Scientist,54,Other,High School,27,122855,212907,90052,73.29941801310488
Consultant,52,Female,PhD,16,170056,356900,186844,109.87204215082092
Business Analyst,32,Female,Bachelor,9,96227,149437,53210,55.29633055171625
Consultant,63,Male,Master,16,149420,289565,140145,93.79266497122207
Designer,36,Male,High School,3,74886,104617,29731,39.70167988676121
Product Manager,25,Other,Master,2,149206,339847,190641,127.7703309518384
DevOps Engineer,50,Female,High School,22,147061,262124,115063,78.24168202310607
Product Manager,31,Other,PhD,8,165976,384889,218913,131.89437027040054
Data Engineer,35,Female,High School,5,120627,223789,103162,85.52148358161938
Software Engineer,36,Other,High School,3,116330,224597,108267,93.06885584114158
Designer,54,Female,PhD,22,142421,234877,92456,64.91739280021906
Data Scientist,50,Female,Bachelor,19,144744,284733,139989,96.71488973636212
Data Engineer,57,Other,Master,28,196687,446759,250072,127.1421090361844
Software Engineer,37,Other,Bachelor,15,165485,357269,191784,115.89207481040577
Data Scientist,61,Female,High School,14,126727,219617,92890,73.2992969138384
Software Engineer,41,Female,PhD,5,196349,547553,351204,178.86722112157435
Data Scientist,63,Other,High School,3,96890,167910,71020,73.29961812364537
Business Analyst,47,Other,PhD,24,132891,239676,106785,80.35532880330496
Software Engineer,46,Female,PhD,15,195178,544287,349109,178.866982959145
DevOps Engineer,60,Female,Bachelor,38,169681,323029,153348,90.37429058055999
DevOps Engineer,30,Other,Bachelor,4,127375,250565,123190,96.7144259077527
Product Manager,42,Other,PhD,8,156330,362521,206191,131.89470990852683
Designer,50,Other,Bachelor,9,90348,133737,43389,48.02430601673529
Business Analyst,42,Other,Master,13,108321,183281,74960,69.20172450402046
Business Analyst,60,Other,High School,2,68078,97278,29200,42.89197685008373
Consultant,35,Female,High School,2,78959,129846,50887,64.4473714206107
Business Analyst,26,Other,Master,2,103167,183713,80546,78.07341494857852
DevOps Engineer,57,Other,Bachelor,26,154776,294653,139877,90.37383056804671
Product Manager,29,Female,High School,6,107541,194002,86461,80.39817371979059
DevOps Engineer,39,Other,PhD,9,162288,400353,238065,146.69291629695357
Designer,37,Male,Master,14,139345,222691,83346,59.812695109261185
Data Scientist,57,Male,Master,26,184195,396927,212732,115.49282010912347
Data Engineer,24,Other,Bachelor,1,126080,278564,152484,120.94225888324873
Designer,58,Female,PhD,24,153542,253217,99675,64.91709108908312
Designer,51,Other,PhD,17,151906,250519,98613,64.91711979776967
Business Analyst,46,Male,PhD,3,113575,204839,91264,80.35571208452565
Business Analyst,31,Male,Bachelor,6,80254,124632,44378,55.296932240137565
Software Engineer,29,Female,PhD,1,169736,521553,351817,207.27305933920914
Project Manager,22,Female,Master,0,97425,184604,87179,89.48319219912754
Consultant,38,Male,Bachelor,0,104237,186672,82435,79.0842023465756
Designer,64,Other,PhD,23,139572,230178,90606,64.91703206946951
Business Analyst,57,Female,Master,24,111863,184481,72618,64.91690728837953
Consultant,36,Other,Bachelor,1,101979,182628,80649,79.08392904421498
Product Manager,52,Male,Bachelor,16,144804,263635,118831,82.06334079169085
Product Manager,65,Other,High School,30,135200,225499,90299,66.78920118343196
Consultant,47,Male,Bachelor,5,106052,189922,83870,79.08384566061932
DevOps Engineer,24,Other,High School,0,93150,175595,82445,88.5077831454643
Consultant,38,Male,Master,15,134473,269515,135042,100.42313326838845
Designer,38,Other,Master,2,106803,170685,63882,59.8129266031853
Consultant,55,Female,High School,25,104774,168163,63389,60.50069673774028
DevOps Engineer,46,Male,High School,5,93774,167144,73370,78.24130355962207
Consultant,65,Other,High School,25,104496,167716,63220,60.499923442045635
Product Manager,41,Female,PhD,8,152453,353530,201077,131.89441991958176
Data Engineer,64,Other,PhD,26,193607,485031,291424,150.5234831385229
Data Engineer,43,Other,High School,9,111782,207380,95598,85.52181925533628
Data Scientist,44,Female,High School,0,97258,173354,76096,78.24137860124617
DevOps Engineer,49,Male,Master,13,168350,377142,208792,124.02257202257204
Consultant,23,Male,High School,1,90938,156962,66024,72.60331214673734
Product Manager,49,Female,PhD,2,137133,318004,180871,131.89458408989813
DevOps Engineer,48,Male,Bachelor,26,145567,286352,140785,96.71491478150955
Designer,60,Female,Master,19,133868,209089,75221,56.190426390175396
Product Manager,42,Female,High School,18,128971,220823,91852,71.21911127307689
Data Scientist,46,Male,PhD,23,228161,562858,334697,146.69334373534477
Data Engineer,59,Male,High School,18,138781,249857,111076,80.03689265821691
Project Manager,43,Male,High School,14,79080,119902,40822,51.62114314618108
Business Analyst,25,Male,PhD,3,126509,241575,115066,90.95479373009034
DevOps Engineer,54,Male,High School,6,108156,187434,79278,73.29967824253856
Data Scientist,27,Other,Bachelor,1,123648,259623,135975,109.9694293478261
Business Analyst,64,Other,Bachelor,7,80115,121763,41648,51.98527117268926
Data Engineer,48,Female,High School,14,139257,258352,119095,85.52173319833113
Product Manager,63,Other,PhD,33,186280,414862,228582,122.70882542409277
Project Manager,26,Female,Master,3,115214,218311,103097,89.48304893502525
Designer,34,Other,PhD,8,145763,246634,100871,69.20206087964709
Consultant,41,Male,High School,15,103502,170206,66704,64.44706382485363
Consultant,38,Male,High School,3,94017,154608,60591,64.44685535594627
Business Analyst,54,Other,Master,31,117560,193876,76316,64.91663831235114
Data Scientist,25,Male,Bachelor,0,113186,237656,124470,109.96943084833812
Project Manager,45,Female,Master,3,105413,188778,83365,79.08417367876828
Data Engineer,57,Male,Master,34,177505,403189,225684,127.14233401876002
Business Analyst,65,Female,Master,7,105711,174335,68624,64.91661227308416
Project Manager,52,Male,High School,19,90404,134303,43899,48.55869209327021
DevOps Engineer,57,Other,Bachelor,22,138165,263030,124865,90.37382839358737
Product Manager,61,Female,Master,6,129725,265137,135412,104.38388899595297
Designer,51,Other,Master,17,128854,201258,72404,56.19072749002747
Data Scientist,60,Female,Bachelor,29,141702,269764,128062,90.3741655022512
Business Analyst,39,Male,High School,12,73874,107525,33651,45.55188564312208
Project Manager,59,Male,Bachelor,14,100600,160006,59406,59.05168986083499
Project Manager,56,Other,Master,5,96592,168147,71555,74.0796339241345
Project Manager,53,Other,Master,12,118915,207007,88092,74.07980490266156
Data Scientist,49,Female,High School,10,121132,215907,94775,78.24109236205132
Project Manager,22,Male,High School,0,67541,106658,39117,57.915932544676565
Software Engineer,25,Other,PhD,3,170790,524791,354001,207.27267404414778
Data Scientist,47,Female,High School,19,130409,232443,102034,78.24153240957295
Software Engineer,61,Female,High School,24,133080,248872,115792,87.00931770363691
Software Engineer,38,Other,High School,1,111453,215181,103728,93.06882721864822
Consultant,25,Male,PhD,2,135534,318218,182684,134.7883187982351
Consultant,54,Male,Master,19,143412,277922,134510,93.79270911778652
Designer,48,Female,Bachelor,20,117738,174281,56543,48.02442711783791
Data Engineer,30,Male,PhD,0,147201,386162,238961,162.33653303985707
Data Engineer,49,Other,PhD,6,160721,421630,260909,162.33659571555677
Project Manager,58,Female,Master,12,106027,184572,78545,74.08018712214813
Business Analyst,40,Other,Master,11,114861,194347,79486,69.20190491115348
Product Manager,33,Female,PhD,4,163079,378171,215092,131.8943579492148
Product Manager,39,Female,PhD,11,162803,377531,214728,131.89437541077254
Product Manager,33,Other,PhD,6,169627,393356,223729,131.894686577019
Designer,46,Male,Master,3,99522,159049,59527,59.81290568919435
Software Engineer,29,Other,Bachelor,6,140114,325664,185550,132.42788015473116
Data Engineer,53,Male,High School,23,136290,245372,109082,80.03668647736444
Product Manager,63,Female,PhD,30,214715,478189,263474,122.7087068905293
Designer,54,Other,PhD,19,160253,264285,104032,64.91734944119611
Project Manager,35,Male,Master,11,108596,194478,85882,79.0839441600059
Designer,64,Male,Bachelor,15,96945,140766,43821,45.20191861364691
Product Manager,25,Other,Bachelor,1,122014,243406,121392,99.49022243349124
DevOps Engineer,23,Other,High School,1,114722,216260,101538,88.50787120168756
Product Manager,54,Other,Master,3,136984,279973,142989,104.38372364655726
Product Manager,65,Other,PhD,23,181314,403802,222488,122.70867114508532
Software Engineer,23,Female,High School,0,111861,230120,118259,105.71959843019461
DevOps Engineer,38,Other,Master,11,157862,353647,195785,124.0228807439409
Consultant,42,Male,High School,8,96734,159076,62342,64.44683358488226
Business Analyst,41,Other,PhD,7,113151,204074,90923,80.35545421604759
Business Analyst,26,Other,Bachelor,0,87032,141092,54060,62.115084106995134
DevOps Engineer,32,Male,Master,1,122193,273740,151547,124.02265268877923
Business Analyst,60,Female,PhD,29,129596,227126,97530,75.25695237507331
Designer,24,Other,PhD,0,131778,234661,102883,78.0729712091548
Data Engineer,62,Male,PhD,33,217186,544101,326915,150.5230539721713
Data Engineer,22,Other,High School,0,103850,204527,100677,96.94463168030813
Data Scientist,22,Male,PhD,0,167410,450065,282655,168.8399737172212
Business Analyst,23,Male,Master,1,97526,173668,76142,78.07353936386194
Data Scientist,50,Other,PhD,11,178977,441524,262547,146.6931505165468
Data Engineer,53,Female,Bachelor,30,159896,318233,158337,99.02499124430881
Data Engineer,54,Other,Bachelor,23,162534,323483,160949,99.02481942239778
Product Manager,48,Female,Master,11,165771,351314,185543,111.9272972956669
Business Analyst,55,Other,Bachelor,31,100717,153075,52358,51.98526564532303
Data Engineer,57,Other,Bachelor,16,158147,314752,156605,99.02495779243363
Consultant,61,Male,Bachelor,17,121495,211498,90003,74.07959175274704
DevOps Engineer,32,Female,High School,0,90149,160683,70534,78.24157783225549
Designer,43,Female,Bachelor,4,88173,130517,42344,48.02377144930988
Data Engineer,39,Other,High School,10,113344,210278,96934,85.52195087521174
Data Scientist,28,Female,PhD,0,182361,490259,307898,168.8398286914417
Designer,30,Other,Master,2,115000,183785,68785,59.81304347826087
DevOps Engineer,61,Female,PhD,8,172631,407837,235206,136.24783497749536
Designer,28,Male,Bachelor,0,85117,130924,45807,53.81651139020407
Data Scientist,56,Female,PhD,27,211754,500264,288510,136.24772141258254
Product Manager,30,Female,High School,5,95021,162694,67673,71.21899369613033
Product Manager,56,Other,Bachelor,17,143350,260987,117637,82.06278339727938
Product Manager,31,Other,High School,0,93582,160230,66648,71.21882413284607
Product Manager,22,Female,Bachelor,0,108688,216822,108134,99.49028411600177
Data Scientist,55,Other,Master,0,123835,266855,143020,115.49238906609602
Software Engineer,57,Female,PhD,29,241353,640962,399609,165.5703471678413
Consultant,31,Male,Bachelor,7,113778,203759,89981,79.08470881892808
DevOps Engineer,27,Other,Bachelor,4,133162,279600,146438,109.9698112074015
Data Engineer,56,Female,Master,18,188053,427148,239095,127.14234816780376
Project Manager,43,Female,Bachelor,3,83343,135756,52413,62.88830495662503
Data Scientist,59,Male,PhD,27,206813,488591,281778,136.2477213714805
Software Engineer,30,Other,Bachelor,4,131864,284684,152820,115.89213128678031
Data Scientist,42,Male,Bachelor,0,108969,214358,105389,96.71466196808267
Consultant,29,Male,Bachelor,0,109447,207384,97937,89.48349429404186
Designer,28,Male,High School,6,81408,117524,36116,44.364190251572325
Designer,49,Male,Master,14,131067,209462,78395,59.812920109562285
Data Scientist,31,Female,Bachelor,5,121026,238076,117050,96.71475550708112
Business Analyst,65,Female,Master,35,131567,216976,85409,64.9167344394871
Designer,59,Male,High School,37,93860,128985,35125,37.42275729810356
Business Analyst,62,Other,PhD,25,128392,225016,96624,75.25702535983551
Data Engineer,22,Other,Bachelor,0,116526,257455,140929,120.94210734085098
DevOps Engineer,43,Female,High School,18,132396,235985,103589,78.24178978216865
Product Manager,40,Other,High School,0,92870,159011,66141,71.21890815117908
Software Engineer,44,Male,Master,4,158421,396203,237782,150.09500003156145
Designer,34,Female,High School,11,96236,134444,38208,39.70239827091733
Project Manager,52,Male,PhD,4,106216,197749,91533,86.17628229268661
Project Manager,50,Male,PhD,4,122767,235917,113150,92.16646167129603
Project Manager,44,Other,High School,12,91635,138938,47303,51.6211054727997
Data Engineer,52,Male,PhD,6,165483,414573,249090,150.52301444861408
Data Engineer,30,Other,Master,1,126823,300236,173413,136.73623869487398
Software Engineer,59,Male,Bachelor,14,133468,277651,144183,108.02814157700722
Data Scientist,24,Female,High School,0,104602,197183,92581,88.50786791839545
Project Manager,61,Male,PhD,16,144917,269802,124885,86.17691506172498
Consultant,46,Male,PhD,18,160861,350515,189654,117.89930436836772
Designer,32,Male,High School,3,80748,112807,32059,39.702531332045375
Designer,23,Male,High School,1,73592,106241,32649,44.36487661702359
Business Analyst,37,Female,PhD,8,111014,200220,89206,80.35563082133785
Project Manager,60,Male,Bachelor,0,68538,109011,40473,59.05191280749366
Consultant,22,Male,Master,0,132325,283570,151245,114.29812960513885
Software Engineer,51,Female,PhD,21,223249,592883,369634,165.5702825096641
Business Analyst,33,Male,Master,0,88398,149571,61173,69.20179189574425
Data Engineer,33,Male,Master,0,125287,296599,171312,136.73565493626634
Data Scientist,29,Female,Master,5,176730,427688,250958,142.00079216884512
Consultant,64,Other,High School,5,82539,132475,49936,60.49988490289439
Software Engineer,32,Male,Master,7,160521,401455,240934,150.0950031460058
Data Engineer,56,Other,Bachelor,27,150245,299025,148780,99.02492595427469
DevOps Engineer,27,Female,PhD,0,161251,433507,272256,168.83988316351525
Data Engineer,31,Other,High School,9,118222,219327,101105,85.52130737087852
Data Engineer,36,Female,PhD,0,158232,415100,256868,162.3363162950604
Data Engineer,45,Male,Master,15,172503,408377,235874,136.73617270424282
Designer,48,Female,Master,19,138634,221555,82921,59.81288861318291
DevOps Engineer,29,Male,High School,5,117200,220931,103731,88.50767918088738
Designer,58,Female,Bachelor,15,100982,146628,45646,45.202115228456556
Data Engineer,31,Male,Master,4,161171,381550,220379,136.73613739444443
Data Scientist,42,Other,High School,1,85989,153268,67279,78.24140297014735
Business Analyst,40,Female,PhD,17,142667,257308,114641,80.35565337464165
Business Analyst,39,Other,High School,11,72769,105917,33148,45.552364330965105
Data Engineer,60,Male,PhD,33,228740,573047,344307,150.52330156509575
Consultant,44,Male,PhD,18,189956,413913,223957,117.89940828402368
Data Scientist,53,Male,PhD,26,213435,504236,290801,136.24803804436948
Consultant,32,Male,PhD,0,121217,264131,142914,117.89930455299174
Consultant,28,Female,Bachelor,6,112493,213155,100662,89.4829011582943
Data Engineer,62,Female,Bachelor,7,134232,267155,132923,99.02482269503547
Consultant,30,Other,PhD,7,146128,318412,172284,117.899375889631
Data Scientist,62,Male,PhD,40,202366,478085,275719,136.24768982931917
Project Manager,26,Male,Master,4,124345,235613,111268,89.48329245245084
DevOps Engineer,52,Male,High School,25,115535,200221,84686,73.2990003029385
Data Engineer,42,Male,Bachelor,15,134990,278218,143228,106.1026742721683
Data Scientist,36,Male,Bachelor,5,122246,240476,118230,96.71482093483631
Project Manager,22,Male,High School,0,74071,116970,42899,57.91605351622092
DevOps Engineer,47,Male,PhD,18,219760,542133,322373,146.69321077539132
Consultant,28,Male,Bachelor,4,114789,217506,102717,89.48331286098842
Project Manager,35,Male,High School,1,69889,105966,36077,51.62042667658716
Software Engineer,22,Other,Master,0,152186,415293,263107,172.88515369350662
Data Scientist,40,Other,PhD,18,205051,505847,300796,146.69326167636345
Data Engineer,26,Other,Master,3,165893,426388,260495,157.02591429415347
DevOps Engineer,33,Other,Bachelor,1,104986,206523,101537,96.71480006858057
Data Scientist,39,Male,PhD,12,200185,493843,293658,146.69330868946224
Project Manager,59,Other,High School,32,93228,138498,45270,48.558373020980824
Software Engineer,32,Female,Master,7,183717,459467,275750,150.09498304457398
Data Scientist,31,Male,High School,8,103081,183733,80652,78.24138299007576
Project Manager,27,Female,PhD,4,139581,285680,146099,104.66969000078808
DevOps Engineer,38,Male,Master,15,159765,357910,198145,124.02278346321158
Software Engineer,41,Male,Master,1,155430,388723,233293,150.09521971305412
Designer,53,Male,Bachelor,26,107381,155919,48538,45.201665099039865
Software Engineer,24,Female,Master,0,150976,411991,261015,172.88509431962694
Product Manager,43,Other,Master,2,125691,266373,140682,111.92686827219131
Designer,22,Female,Bachelor,0,88440,136035,47595,53.816146540027134
DevOps Engineer,46,Other,PhD,17,206064,508346,302282,146.69326034630018
Designer,62,Male,PhD,14,127185,209750,82565,64.91724653064433
Project Manager,60,Other,Master,21,125152,217865,92713,74.08031833290718
Data Scientist,51,Other,PhD,22,199184,470568,271384,136.24789139689935
Consultant,23,Male,High School,0,89113,153812,64699,72.60332386969354
Data Scientist,41,Female,Bachelor,17,144307,283873,139566,96.71464308730691
Consultant,65,Female,High School,38,112064,179863,67799,60.50024985722444
Product Manager,37,Female,Master,6,136020,288263,152243,111.92692251139538
Designer,63,Female,High School,23,96569,132707,36138,37.42194700162578
Product Manager,60,Other,High School,10,100374,167413,67039,66.78920836073087
Product Manager,42,Female,PhD,3,165232,383164,217932,131.89454827152124
Data Engineer,57,Male,Master,30,205891,467665,261774,127.14203146324998
Business Analyst,51,Male,Bachelor,22,97063,147521,50458,51.98479338161812
Product Manager,31,Male,High School,3,96122,164579,68457,71.21886768897859
Product Manager,36,Other,PhD,3,137911,319808,181897,131.89448267360834
Business Analyst,53,Male,Master,5,89474,147558,58084,64.91718264523773
Product Manager,26,Male,High School,0,97586,176043,78457,80.39780296353986
DevOps Engineer,42,Male,Master,18,165684,371170,205486,124.02283865672001
DevOps Engineer,63,Female,Master,10,155982,336130,180148,115.4928132733264
Data Engineer,44,Female,Bachelor,20,169892,350152,180260,106.10270053916607
Data Engineer,51,Female,PhD,25,205161,513976,308815,150.52324759579062
Software Engineer,35,Female,Master,13,202365,506105,303740,150.0951251451585
Software Engineer,53,Other,PhD,30,208059,552543,344484,165.57034302769887
Project Manager,58,Female,Master,8,105345,183384,78039,74.07945322511748
DevOps Engineer,53,Other,Bachelor,4,106280,202329,96049,90.37354158825744
Project Manager,64,Male,Master,28,141347,246057,104710,74.08010074497513
Data Scientist,28,Female,Bachelor,5,134090,281548,147458,109.9694235215154
Business Analyst,24,Male,PhD,1,110989,211939,100950,90.95495950049104
DevOps Engineer,61,Male,Bachelor,16,140666,267792,127126,90.37436196380078
DevOps Engineer,48,Female,Bachelor,10,125866,247597,121731,96.71476014173804
Project Manager,31,Male,Bachelor,0,82387,134199,51812,62.888562515930914
Designer,60,Male,High School,23,99655,136948,37293,37.422106266619835
Designer,41,Male,Bachelor,2,86979,128750,41771,48.02423573506249
DevOps Engineer,30,Other,Bachelor,5,131034,257763,126729,96.71459315902743
Consultant,40,Female,High School,7,90553,148912,58359,64.44734023168752
DevOps Engineer,65,Other,PhD,36,196903,465179,268276,136.24779713869265
Consultant,42,Other,High School,8,94940,156126,61186,64.44701917000211
Data Scientist,35,Male,PhD,0,140806,347359,206553,146.69332272772465
Product Manager,39,Female,PhD,12,186219,431832,245613,131.89470462197735
Project Manager,54,Male,Bachelor,30,117911,187540,69629,59.05216646453682
Data Engineer,52,Male,High School,9,104039,187309,83270,80.0372937071675
Data Scientist,60,Other,Master,7,141100,304060,162960,115.49255846917079
Designer,64,Female,PhD,28,154392,254619,100227,64.91722369034665
Software Engineer,55,Male,Master,3,140278,335763,195485,139.3554228032906
Data Engineer,29,Female,Bachelor,4,130072,287384,157312,120.942247370687
Data Engineer,28,Other,PhD,6,180190,518008,337818,187.47877240690383
Software Engineer,53,Female,PhD,26,209793,557148,347355,165.57034791437272
Data Engineer,59,Female,Bachelor,8,135007,268698,133691,99.02523572851779
Consultant,41,Female,Master,7,144115,288839,144724,100.42257919023004
Data Engineer,37,Male,Master,10,173948,411798,237850,136.7362660105319
Software Engineer,39,Female,Bachelor,2,136894,295543,158649,115.89185793387584
Data Scientist,49,Other,Master,13,163217,365643,202426,124.02262019274953
Business Analyst,52,Other,Bachelor,28,94845,144150,49305,51.98481733354421
Software Engineer,50,Other,Master,16,191032,477762,286730,150.09527199631475
Consultant,26,Male,High School,3,85129,146935,61806,72.60275581764147
Consultant,24,Other,High School,0,94357,162863,68506,72.60298652988119
Data Scientist,23,Female,High School,1,100965,190327,89362,88.50789877680384
Data Engineer,55,Other,Master,18,193658,439879,246221,127.14217847958773
Data Engineer,42,Other,Bachelor,2,109636,225963,116327,106.10292239775256
Project Manager,54,Female,Master,16,123901,215687,91786,74.08011234776151
Project Manager,28,Female,PhD,5,120481,246588,126107,104.66961595604288
Consultant,56,Male,Master,4,120628,233769,113141,93.79331498491229
Software Engineer,50,Female,High School,7,118938,229632,110694,93.06865761993643
Software Engineer,58,Other,High School,28,140733,263184,122451,87.00944341412462
DevOps Engineer,33,Other,PhD,3,171112,422122,251010,146.6933938005517
Software Engineer,64,Female,Master,6,158986,380541,221555,139.35503755047614
Data Engineer,59,Female,High School,28,134197,241604,107407,80.03681155316438
Designer,51,Male,Bachelor,22,107169,155611,48442,45.20150416631675
Project Manager,42,Female,Bachelor,19,101348,165085,63737,62.88925287129494
Product Manager,36,Male,High School,0,80972,138639,57667,71.21844588252729
Data Engineer,27,Female,Bachelor,4,130276,287834,157558,120.94169302097086
Product Manager,28,Male,Bachelor,0,108442,216331,107889,99.49004998063481
Designer,64,Male,High School,26,101567,139576,38009,37.42258804532968
Data Engineer,54,Male,Bachelor,16,149870,298279,148409,99.02515513444986
Product Manager,44,Female,Bachelor,5,108592,203842,95250,87.71364373066156
Designer,44,Male,High School,3,69776,97479,27703,39.702763127723
Product Manager,26,Other,Master,3,144770,329744,184974,127.7709470194101
Designer,38,Other,PhD,13,147800,250080,102280,69.20162381596752
Consultant,43,Female,Master,17,164951,330599,165648,100.4225497268886
DevOps Engineer,44,Female,Master,11,153535,343953,190418,124.02253557820693
Designer,65,Other,High School,2,67288,92469,25181,37.42272024729521
Data Scientist,31,Other,Master,0,133891,299946,166055,124.02252578590047
Consultant,29,Other,PhD,0,153963,361488,207525,134.788877847275
Business Analyst,39,Other,High School,11,78034,113580,35546,45.55193889842889
Software Engineer,28,Other,Master,3,155366,423971,268605,172.88531596359564
Designer,36,Female,Master,6,119425,190856,71431,59.812434582373875
Software Engineer,43,Female,Master,20,217193,543189,325996,150.09507672899218
Project Manager,50,Male,PhD,10,130410,250605,120195,92.16701173222913
Business Analyst,48,Female,Master,8,107698,182227,74529,69.20184218834147
Software Engineer,52,Other,Bachelor,20,163534,340197,176663,108.02829992539777
Software Engineer,37,Female,Master,3,155741,389500,233759,150.09470852248285
Consultant,23,Male,Master,0,114965,246368,131403,114.29826468925326
Consultant,45,Female,Master,18,145485,291585,146100,100.42272399216414
Software Engineer,49,Female,Bachelor,5,134290,289922,155632,115.89247151686648
Data Scientist,22,Female,PhD,0,179079,481436,302357,168.8400091579694
DevOps Engineer,58,Male,Bachelor,14,127646,243005,115359,90.3741597856572
